creation_date,update_date,codigo,nombre,vigencia,familia,tipo_plan,concepto
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810502001,CERTIFICADO FUNCIONARIO PUBLICO-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-TOKEN PROPIO DEL CLIENTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810502002,CERTIFICADO FUNCIONARIO PUBLICO-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-TOKEN DE SECURITY DATA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810502003,CERTIFICADO FUNCIONARIO PUBLICO-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-TOKEN BIOMETRICO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810502004,IMPLEMENTACION DE FIRMAS ELECTRONICAS  CONTRATO 63-2012, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810502005,COMISIONES - REFERENCIA DE CLIENTES, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810502006,SERVICIO ADMINISTRATIVO, ,OTROS SERVICIOS, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810503001,CERTIFICADO DE FUNCIONARIO PUBLICO-CONEXIONES SEGURAS WEB-TOKEN PROPIO DEL CLIENTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810503002,CERTIFICADO DE FUNCIONARIO PUBLICO-CONEXIONES SEGURAS WEB-TOKEN DE SECURITY DATA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810503003,CERTIFICADO DE FUNCIONARIO PUBLICO-CONEXIONES SEGURAS WEB-TOKEN BIOMETRICO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810503004,CERTIFICADO DE FUNCIONARIO PUBLICO-CONEXIONES SEGURAS WEB-SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810504001,CONTRATO ELECTRONICO, ,CONTRATOS, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810601001,CERTIFICADO SSL, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810601009,SANS DE CERTIFICADO SSL, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810602001,CERTIFICADO TELCONET - COMODO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810701001,TIME STAMPING POR 1 MES,1 MES, , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810701002,TIME STAMPING POR 3 MESES,3 MESES, , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810701003,TIME STAMPING POR 6 MESES,6 MESES, , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810701004,TIME STAMPING POR 12 MESES,12 MESES, , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4820101001,RENOVACION DE CERTIFICADOS, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4820101002,NOTIFICACIONES CERTIFICADAS, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4820101003,REEMISION DE CERTIFICADOS DE FIRMA Y ENCRIPTACION DE CORREO/DOCUMENTOS, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4820201001,CURSO DE FACTURACION ELECTRONICA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830101001,LICENCIA ESTANDAR INCLUYE FIRMADOR  VALIDADOR DE FACTURAS  CALCULADORA Y ADMINISTRACION TOKEN, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830101002,LICENCIA ENTERPRISE INCLLUYE LA VERSION ESTANDAR Y SOFTWARE DE MANEJO DOCUMENTAL, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830201001,MENOR A 1000 FACTURAS POR TRANSACCION, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830201002,ENTRE 1001 Y 10000 FACTURAS POR TRANSACCION, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830201003,ENTRE 10001 Y 25000 FACTURAS POR TRANSACCION, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830201004,ENTRE 25001 Y 100000 FACTURAS POR TRANSACCION, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830201005,MAYOR A 100000 FACTURAS POR TRANSACCION, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830301001,LICENCIA E-POLIZA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830301002,MENOR A 1000 POLIZAS POR TRANSACCION, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830301003,ENTRE 1001 Y 10000 POLIZAS POR TRANSACCION, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830301004,ENTRE 10001 Y 25000 POLIZAS POR TRANSACCION, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830301005,ENTRE 25001 Y 100000 POLIZAS POR TRANSACCION, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830301006,MAYOR A 100000 POLIZAS POR TRANSACCION, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830401001,FACTURACION ELECTRONICA DE 1 A 12000, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830401002,FACTURACION ELECTRONICA DE 12001 A 60000, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830401003,FACTURACION ELECTRONICA DE 60001 A 120000, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830401004,FACTURACION ELECTRONICA DE 120001 A 300000, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830401005,FACTURACION ELECTRONICA DE 300001 EN ADELANTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501022,ATENCION PREFERENCIAL, ,FIRMAS ELECTRONICAS, ,FIRMAS AGENTES
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4880105002,SOPORTE CERT. WEB SERCOP 2, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4880105003,SOPORTE CERT. WEB SERCOP 3, , , , 
