codigo,codigo_nombre,familia_producto,atencion,venta_dirigida,concepto_1,concepto_2,plan,vigencia
F.TE.R.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Tercero vinculado,Representante Legal,Token,Nuevo,NULL,Vigencia 1 ano
F.TE.R.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Tercero vinculado,Representante Legal,Token,Nuevo,NULL,Vigencia 2 anos
F.TE.R.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Tercero vinculado,Representante Legal,Token,Nuevo,NULL,Vigencia 3 anos
F.TE.M.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Tercero vinculado,Miembro de empresa,Token,Nuevo,NULL,Vigencia 1 ano
F.TE.M.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Tercero vinculado,Miembro de empresa,Token,Nuevo,NULL,Vigencia 2 anos
F.TE.M.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Tercero vinculado,Miembro de empresa,Token,Nuevo,NULL,Vigencia 3 anos
F.PR.P.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Preferenciales,Personas Naturales,Token,Nuevo,NULL,Vigencia 1 ano
F.PR.P.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Preferenciales,Personas Naturales,Token,Nuevo,NULL,Vigencia 2 anos
F.PR.P.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Preferenciales,Personas Naturales,Token,Nuevo,NULL,Vigencia 3 anos
F.PR.R.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Preferenciales,Representante Legal,Token,Nuevo,NULL,Vigencia 1 ano
F.PR.R.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Preferenciales,Representante Legal,Token,Nuevo,NULL,Vigencia 2 anos
F.PR.R.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Preferenciales,Representante Legal,Token,Nuevo,NULL,Vigencia 3 anos
F.PR.M.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Preferenciales,Miembro de empresa,Token,Nuevo,NULL,Vigencia 1 ano
F.PR.M.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Preferenciales,Miembro de empresa,Token,Nuevo,NULL,Vigencia 2 anos
F.PR.M.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Preferenciales,Miembro de empresa,Token,Nuevo,NULL,Vigencia 3 anos
F.ON.P.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Online,Personas Naturales,Token,Renovacion,NULL,Vigencia 1 ano
F.ON.P.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Online,Personas Naturales,Token,Renovacion,NULL,Vigencia 2 anos
F.ON.P.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Online,Personas Naturales,Token,Renovacion,NULL,Vigencia 3 anos
F.ON.R.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Online,Representante Legal,Token,Renovacion,NULL,Vigencia 1 ano
F.ON.R.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Online,Representante Legal,Token,Renovacion,NULL,Vigencia 2 anos
F.ON.R.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Online,Representante Legal,Token,Renovacion,NULL,Vigencia 3 anos
F.ON.M.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Online,Miembro de empresa,Token,Renovacion,NULL,Vigencia 1 ano
F.ON.M.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Online,Miembro de empresa,Token,Renovacion,NULL,Vigencia 2 anos
F.ON.M.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Online,Miembro de empresa,Token,Renovacion,NULL,Vigencia 3 anos
F.OF.P.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Offline,Personas Naturales,Token,Renovacion,NULL,Vigencia 1 ano
F.OF.P.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Offline,Personas Naturales,Token,Renovacion,NULL,Vigencia 2 anos
F.OF.P.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Offline,Personas Naturales,Token,Renovacion,NULL,Vigencia 3 anos
F.OF.R.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Offline,Representante Legal,Token,Renovacion,NULL,Vigencia 1 ano
F.OF.R.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Offline,Representante Legal,Token,Renovacion,NULL,Vigencia 2 anos
F.OF.R.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Offline,Representante Legal,Token,Renovacion,NULL,Vigencia 3 anos
F.OF.M.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Offline,Miembro de empresa,Token,Renovacion,NULL,Vigencia 1 ano
F.OF.M.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Offline,Miembro de empresa,Token,Renovacion,NULL,Vigencia 2 anos
F.OF.M.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Offline,Miembro de empresa,Token,Renovacion,NULL,Vigencia 3 anos
F.AG.P.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Agente movil,Personas Naturales,Token,Renovacion,NULL,Vigencia 1 ano
F.AG.P.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Agente movil,Personas Naturales,Token,Renovacion,NULL,Vigencia 2 anos
F.AG.P.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Agente movil,Personas Naturales,Token,Renovacion,NULL,Vigencia 3 anos
F.AG.R.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Agente movil,Representante Legal,Token,Renovacion,NULL,Vigencia 1 ano
F.AG.R.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Agente movil,Representante Legal,Token,Renovacion,NULL,Vigencia 2 anos
F.AG.R.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Agente movil,Representante Legal,Token,Renovacion,NULL,Vigencia 3 anos
